"id","game_number","HomeTeamScore","AwayTeamScore","punter_username"
"1","1","1","2","Coringa22408"
"2","3","2","0","Coringa22408"
"3","2","1","3","Coringa22408"
"4","4","0","0","Coringa22408"
"5","8","4","0","Coringa22408"
"6","6","2","1","Coringa22408"
"7","7","1","1","Coringa22408"
"8","5","3","1","Coringa22408"
"9","12","0","2","Coringa22408"
"10","11","3","1","Coringa22408"
"11","10","1","0","Coringa22408"
"12","9","4","0","Coringa22408"
"13","13","2","2","Coringa22408"
"14","14","1","0","Coringa22408"
"15","15","1","1","Coringa22408"
"16","16","2","1","Coringa22408"
"17","17","1","2","Coringa22408"
"18","18","1","1","Coringa22408"
"19","19","3","1","Coringa22408"
"20","20","2","0","Coringa22408"
"21","21","1","2","Coringa22408"
"22","22","1","0","Coringa22408"
"23","23","1","2","Coringa22408"
"24","24","3","1","Coringa22408"
"25","25","1","0","Coringa22408"
"26","26","3","0","Coringa22408"
"27","27","2","0","Coringa22408"
"28","28","1","3","Coringa22408"
"29","29","1","2","Coringa22408"
"30","30","1","1","Coringa22408"
"31","31","1","0","Coringa22408"
"32","32","2","0","Coringa22408"
"33","35","1","0","Coringa22408"
"34","36","2","1","Coringa22408"
"35","33","2","3","Coringa22408"
"36","34","2","0","Coringa22408"
"37","37","0","1","Coringa22408"
"38","38","1","4","Coringa22408"
"39","39","1","2","Coringa22408"
"40","40","0","2","Coringa22408"
"41","41","2","2","Coringa22408"
"42","42","1","1","Coringa22408"
"43","43","0","2","Coringa22408"
"44","44","0","5","Coringa22408"
"45","45","1","1","Coringa22408"
"46","46","1","2","Coringa22408"
"47","47","2","1","Coringa22408"
"48","48","1","4","Coringa22408"
"49","1","0","0","Jarriel90"
"50","3","2","0","Jarriel90"
"51","2","1","0","Jarriel90"
"52","4","1","1","Jarriel90"
"53","8","2","0","Jarriel90"
"54","6","1","0","Jarriel90"
"55","7","1","3","Jarriel90"
"56","5","2","0","Jarriel90"
"57","12","0","1","Jarriel90"
"58","11","3","1","Jarriel90"
"59","10","2","1","Jarriel90"
"60","9","4","0","Jarriel90"
"61","13","1","1","Jarriel90"
"62","14","1","1","Jarriel90"
"63","15","2","1","Jarriel90"
"64","16","1","0","Jarriel90"
"65","17","1","0","Jarriel90"
"66","18","0","1","Jarriel90"
"67","19","0","1","Jarriel90"
"68","20","1","1","Jarriel90"
"69","21","1","0","Jarriel90"
"70","22","2","0","Jarriel90"
"71","23","2","1","Jarriel90"
"72","24","1","0","Jarriel90"
"73","25","0","0","Jarriel90"
"74","26","2","0","Jarriel90"
"75","27","1","0","Jarriel90"
"76","28","1","1","Jarriel90"
"77","29","0","1","Jarriel90"
"78","30","2","1","Jarriel90"
"79","31","1","0","Jarriel90"
"80","32","1","0","Jarriel90"
"81","35","0","1","Jarriel90"
"82","36","0","1","Jarriel90"
"83","33","0","1","Jarriel90"
"84","34","0","1","Jarriel90"
"85","37","0","2","Jarriel90"
"86","38","0","2","Jarriel90"
"87","39","0","0","Jarriel90"
"88","40","0","2","Jarriel90"
"89","41","0","2","Jarriel90"
"90","42","0","1","Jarriel90"
"91","43","0","1","Jarriel90"
"92","44","0","2","Jarriel90"
"93","45","0","1","Jarriel90"
"94","46","1","1","Jarriel90"
"95","47","1","1","Jarriel90"
"96","48","1","2","Jarriel90"
"97","1","0","2","ApostadorFLPizi"
"98","3","3","1","ApostadorFLPizi"
"99","2","1","1","ApostadorFLPizi"
"100","4","0","1","ApostadorFLPizi"
"101","8","2","0","ApostadorFLPizi"
"102","6","2","2","ApostadorFLPizi"
"103","7","1","1","ApostadorFLPizi"
"104","5","2","1","ApostadorFLPizi"
"105","12","0","4","ApostadorFLPizi"
"106","11","2","0","ApostadorFLPizi"
"107","10","3","2","ApostadorFLPizi"
"108","9","2","1","ApostadorFLPizi"
"109","13","1","0","ApostadorFLPizi"
"110","14","3","0","ApostadorFLPizi"
"111","15","1","0","ApostadorFLPizi"
"112","16","2","0","ApostadorFLPizi"
"113","17","3","0","ApostadorFLPizi"
"114","18","1","1","ApostadorFLPizi"
"115","19","1","2","ApostadorFLPizi"
"116","20","3","0","ApostadorFLPizi"
