MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore
1,1,2022-11-20 16:00:00Z,Al Bayt Stadium,Qatar,Ecuador,Group A,,
3,1,2022-11-21 13:00:00Z,Khalifa International Stadium,England,Iran,Group B,,
2,1,2022-11-21 16:00:00Z,Al Thumama Stadium,Senegal,Netherlands,Group A,,
4,1,2022-11-21 19:00:00Z,Ahmad Bin Ali Stadium,USA,Wales,Group B,,
8,1,2022-11-22 10:00:00Z,Lusail Stadium,Argentina,Saudi Arabia,Group C,,
6,1,2022-11-22 13:00:00Z,Education City Stadium,Denmark,Tunisia,Group D,,
7,1,2022-11-22 16:00:00Z,Stadium 974,Mexico,Poland,Group C,,
5,1,2022-11-22 19:00:00Z,Al Janoub Stadium,France,Australia,Group D,,
12,1,2022-11-23 10:00:00Z,Al Bayt Stadium,Morocco,Croatia,Group F,,
11,1,2022-11-23 13:00:00Z,Khalifa International Stadium,Germany,Japan,Group E,,
10,1,2022-11-23 16:00:00Z,Al Thumama Stadium,Spain,Costa Rica,Group E,,
9,1,2022-11-23 19:00:00Z,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,,
13,1,2022-11-24 10:00:00Z,Al Janoub Stadium,Switzerland,Cameroon,Group G,,
14,1,2022-11-24 13:00:00Z,Education City Stadium,Uruguay,Korea Republic,Group H,,
15,1,2022-11-24 16:00:00Z,Stadium 974,Portugal,Ghana,Group H,,
16,1,2022-11-24 19:00:00Z,Lusail Stadium,Brazil,Serbia,Group G,,
17,2,2022-11-25 10:00:00Z,Ahmad Bin Ali Stadium,Wales,Iran,Group B,,
18,2,2022-11-25 13:00:00Z,Al Thumama Stadium,Qatar,Senegal,Group A,,
19,2,2022-11-25 16:00:00Z,Khalifa International Stadium,Netherlands,Ecuador,Group A,,
20,2,2022-11-25 19:00:00Z,Al Bayt Stadium,England,USA,Group B,,
21,2,2022-11-26 10:00:00Z,Al Janoub Stadium,Tunisia,Australia,Group D,,
22,2,2022-11-26 13:00:00Z,Education City Stadium,Poland,Saudi Arabia,Group C,,
23,2,2022-11-26 16:00:00Z,Stadium 974,France,Denmark,Group D,,
24,2,2022-11-26 19:00:00Z,Lusail Stadium,Argentina,Mexico,Group C,,
25,2,2022-11-27 10:00:00Z,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,,
26,2,2022-11-27 13:00:00Z,Al Thumama Stadium,Belgium,Morocco,Group F,,
27,2,2022-11-27 16:00:00Z,Khalifa International Stadium,Croatia,Canada,Group F,,
28,2,2022-11-27 19:00:00Z,Al Bayt Stadium,Spain,Germany,Group E,,
29,2,2022-11-28 10:00:00Z,Al Janoub Stadium,Cameroon,Serbia,Group G,,
30,2,2022-11-28 13:00:00Z,Education City Stadium,Korea Republic,Ghana,Group H,,
31,2,2022-11-28 16:00:00Z,Stadium 974,Brazil,Switzerland,Group G,,
32,2,2022-11-28 19:00:00Z,Lusail Stadium,Portugal,Uruguay,Group H,,
35,3,2022-11-29 15:00:00Z,Khalifa International Stadium,Ecuador,Senegal,Group A,,
36,3,2022-11-29 15:00:00Z,Al Bayt Stadium,Netherlands,Qatar,Group A,,
33,3,2022-11-29 19:00:00Z,Ahmad Bin Ali Stadium,Wales,England,Group B,,
34,3,2022-11-29 19:00:00Z,Al Thumama Stadium,Iran,USA,Group B,,
37,3,2022-11-30 15:00:00Z,Al Janoub Stadium,Australia,Denmark,Group D,,
38,3,2022-11-30 15:00:00Z,Education City Stadium,Tunisia,France,Group D,,
39,3,2022-11-30 19:00:00Z,Stadium 974,Poland,Argentina,Group C,,
40,3,2022-11-30 19:00:00Z,Lusail Stadium,Saudi Arabia,Mexico,Group C,,
41,3,2022-12-01 15:00:00Z,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,,
42,3,2022-12-01 15:00:00Z,Al Thumama Stadium,Canada,Morocco,Group F,,
43,3,2022-12-01 19:00:00Z,Khalifa International Stadium,Japan,Spain,Group E,,
44,3,2022-12-01 19:00:00Z,Al Bayt Stadium,Costa Rica,Germany,Group E,,
45,3,2022-12-02 15:00:00Z,Al Janoub Stadium,Ghana,Uruguay,Group H,,
46,3,2022-12-02 15:00:00Z,Education City Stadium,Korea Republic,Portugal,Group H,,
47,3,2022-12-02 19:00:00Z,Stadium 974,Serbia,Switzerland,Group G,,
48,3,2022-12-02 19:00:00Z,Lusail Stadium,Cameroon,Brazil,Group G,,
49,4,2022-12-03 15:00:00Z,TBA,1A,2B,,,
50,4,2022-12-03 19:00:00Z,TBA,1C,2D,,,
52,4,2022-12-04 15:00:00Z,TBA,1D,2C,,,
51,4,2022-12-04 19:00:00Z,TBA,1B,2A,,,
53,4,2022-12-05 15:00:00Z,TBA,1E,2F,,,
54,4,2022-12-05 19:00:00Z,TBA,1G,2H,,,
55,4,2022-12-06 15:00:00Z,TBA,1F,2E,,,
56,4,2022-12-06 19:00:00Z,TBA,1H,2G,,,
58,5,2022-12-09 15:00:00Z,TBA,To be announced,To be announced,,,
57,5,2022-12-09 19:00:00Z,TBA,To be announced,To be announced,,,
60,5,2022-12-10 15:00:00Z,TBA,To be announced,To be announced,,,
59,5,2022-12-10 19:00:00Z,TBA,To be announced,To be announced,,,
61,6,2022-12-13 19:00:00Z,TBA,To be announced,To be announced,,,
62,6,2022-12-14 19:00:00Z,TBA,To be announced,To be announced,,,
63,7,2022-12-17 15:00:00Z,TBA,To be announced,To be announced,,,
64,7,2022-12-18 15:00:00Z,TBA,To be announced,To be announced,,,
